turn_id,pause_index,p_eot
hi__069,4,0.1527
hi__069,5,0.6120
hi__070,0,0.3306
hi__070,1,0.6867
hi__071,0,0.3198
hi__071,1,0.2587
hi__071,2,0.6753
hi__072,0,0.5472
hi__072,1,0.6104
hi__073,0,0.3315
hi__073,1,0.3547
hi__073,2,0.3279
hi__073,3,0.3990
hi__073,4,0.2639
hi__073,5,0.7159
hi__074,0,0.3804
hi__074,1,0.6560
hi__075,0,0.2802
hi__075,1,0.9059
hi__076,0,0.8884
hi__077,0,0.4223
hi__077,1,0.4214
hi__077,2,0.8972
hi__078,0,0.3309
hi__078,1,0.2024
hi__078,2,0.4223
hi__078,3,0.7189
hi__079,0,0.3034
hi__079,1,0.2709
hi__079,2,0.9034
hi__080,0,0.3701
hi__080,1,0.6782
hi__081,0,0.2948
hi__081,1,0.3003
hi__081,2,0.7874
hi__082,0,0.6884
hi__083,0,0.6961
hi__084,0,0.8780
hi__085,0,0.3307
hi__085,1,0.5935
hi__085,2,0.7513
hi__086,0,0.3300
hi__086,1,0.5664
hi__087,0,0.4958
hi__087,1,0.2957
hi__087,2,0.7997
hi__088,0,0.2407
hi__088,1,0.4333
hi__088,2,0.5080
hi__089,0,0.5046
hi__089,1,0.2019
hi__089,2,0.6391
hi__090,0,0.1932
hi__090,1,0.1516
hi__090,2,0.3176
hi__090,3,0.5557
hi__091,0,0.5927
hi__092,0,0.7947
hi__093,0,0.7471
hi__094,0,0.2996
hi__094,1,0.2582
hi__094,2,0.4192
hi__094,3,0.2917
hi__094,4,0.2211
hi__094,5,0.6250
hi__095,0,0.3929
hi__095,1,0.7987
hi__096,0,0.2716
hi__096,1,0.2915
hi__096,2,0.2148
hi__096,3,0.5293
hi__097,0,0.2715
hi__097,1,0.3465
hi__097,2,0.2446
hi__097,3,0.2549
hi__097,4,0.2566
hi__097,5,0.4232
hi__098,0,0.5733
hi__099,0,0.3378
hi__099,1,0.6373
